,year,league,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,titles
237,2013,Bundesliga,Bayer 04 Leverkusen,35,24.8,14,€5.03m,€175.88m,[]
238,2013,Bundesliga,VfL Wolfsburg,36,25.6,24,€4.31m,€155.23m,[]
239,2013,Bundesliga,Borussia Mönchengladbach,28,25.4,15,€3.98m,€111.38m,[]
240,2013,Bundesliga,VfB Stuttgart,35,25.5,19,€3.09m,€108.30m,[]
241,2013,Bundesliga,Hamburger SV,34,25.4,18,€3.02m,€102.78m,[]
242,2013,Bundesliga,TSG 1899 Hoffenheim,43,24.2,25,€2.27m,€97.40m,[]
243,2013,Bundesliga,Eintracht Frankfurt,33,25.3,11,€2.61m,€86.20m,[]
244,2013,Bundesliga,Hannover 96,36,25.6,20,€2.23m,€80.23m,[]
245,2013,Bundesliga,SC Freiburg,35,24.2,16,€2.05m,€71.68m,[]
246,2013,Bundesliga,Hertha BSC,32,26.4,14,€2.13m,€68.08m,['German 2. Bundesliga Champion 12/13']
247,2013,Bundesliga,SV Werder Bremen,39,24.2,18,€1.70m,€66.40m,[]
248,2013,Bundesliga,1.FSV Mainz 05,32,27.1,16,€1.86m,€59.45m,[]
249,2013,Bundesliga,1.FC Nuremberg,33,24.7,17,€1.71m,€56.45m,[]
250,2013,Bundesliga,FC Augsburg,35,25.8,20,€1.31m,€45.95m,[]
251,2013,Bundesliga,Eintracht Braunschweig,33,26.4,11,€866k,€28.58m,[]
252,2014,Bundesliga,Bayern Munich,33,26.1,17,€17.43m,€575.13m,"['German Champion 13/14', 'German Cup winner  13/14']"
253,2014,Bundesliga,Borussia Dortmund,37,25.2,19,€8.64m,€319.50m,[]
254,2014,Bundesliga,VfL Wolfsburg,30,26.4,18,€7.37m,€221.05m,[]
255,2014,Bundesliga,FC Schalke 04,36,24.5,15,€5.89m,€212.00m,[]
256,2014,Bundesliga,Bayer 04 Leverkusen,26,25.4,14,€6.81m,€177.10m,[]
257,2014,Bundesliga,Borussia Mönchengladbach,27,26.3,15,€4.84m,€130.63m,[]
258,2014,Bundesliga,TSG 1899 Hoffenheim,30,24.9,14,€4.06m,€121.78m,[]
259,2014,Bundesliga,1.FSV Mainz 05,36,25.4,19,€2.44m,€88.00m,[]
260,2014,Bundesliga,Hamburger SV,38,25.8,21,€2.29m,€87.15m,[]
261,2014,Bundesliga,VfB Stuttgart,30,25.2,17,€2.90m,€86.95m,[]
262,2014,Bundesliga,Hannover 96,35,26.1,16,€2.19m,€76.65m,[]
263,2014,Bundesliga,Eintracht Frankfurt,30,25.6,14,€2.50m,€74.90m,[]
264,2014,Bundesliga,SV Werder Bremen,36,24.4,16,€1.88m,€67.53m,[]
265,2014,Bundesliga,Hertha BSC,30,26.7,16,€2.20m,€66.00m,[]
266,2014,Bundesliga,SC Freiburg,30,25.6,13,€1.91m,€57.40m,[]
267,2014,Bundesliga,1.FC Köln,27,25.8,14,€1.88m,€50.75m,['German 2. Bundesliga Champion 13/14']
268,2014,Bundesliga,FC Augsburg,35,26.1,19,€1.43m,€50.08m,[]
269,2014,Bundesliga,SC Paderborn 07,28,26.6,9,€1.02m,€28.50m,[]
270,2015,Bundesliga,Bayern Munich,34,26.4,19,€17.53m,€596.05m,['German Champion 14/15']
271,2015,Bundesliga,Borussia Dortmund,30,25.4,13,€11.77m,€352.95m,[]
272,2015,Bundesliga,VfL Wolfsburg,35,25.9,19,€7.73m,€270.43m,['German Cup winner  14/15']
273,2015,Bundesliga,Bayer 04 Leverkusen,33,24.7,21,€7.31m,€241.30m,[]
274,2015,Bundesliga,FC Schalke 04,32,25.4,14,€7.04m,€225.20m,[]
275,2015,Bundesliga,Borussia Mönchengladbach,29,25.9,18,€6.42m,€186.15m,[]
276,2015,Bundesliga,TSG 1899 Hoffenheim,30,25.4,16,€3.01m,€90.20m,[]
277,2015,Bundesliga,1.FSV Mainz 05,39,25.8,22,€2.18m,€85.15m,[]
278,2015,Bundesliga,VfB Stuttgart,34,25.4,19,€2.39m,€81.18m,[]
279,2015,Bundesliga,Hertha BSC,34,25.7,15,€2.32m,€78.93m,[]
280,2015,Bundesliga,Eintracht Frankfurt,35,25.5,21,€2.19m,€76.60m,[]
281,2015,Bundesliga,FC Augsburg,39,26.4,21,€1.94m,€75.83m,[]
282,2015,Bundesliga,1.FC Köln,25,25.4,12,€2.75m,€68.63m,[]
283,2015,Bundesliga,SV Werder Bremen,39,25.1,19,€1.66m,€64.68m,[]
284,2015,Bundesliga,Hamburger SV,35,26.3,19,€1.81m,€63.20m,[]
285,2015,Bundesliga,Hannover 96,39,24.9,21,€1.56m,€60.83m,[]
286,2015,Bundesliga,FC Ingolstadt 04,29,25.7,16,€1.23m,€35.65m,['German 2. Bundesliga Champion 14/15']
287,2015,Bundesliga,SV Darmstadt 98,30,27.7,8,€838k,€25.15m,[]
288,2016,Bundesliga,Bayern Munich,33,26.6,19,€17.05m,€562.55m,"['German Champion 15/16', 'German Cup winner  15/16']"
289,2016,Bundesliga,Borussia Dortmund,31,25.6,17,€12.60m,€390.65m,[]
290,2016,Bundesliga,Bayer 04 Leverkusen,39,24.3,22,€6.80m,€265.03m,[]
291,2016,Bundesliga,FC Schalke 04,39,25.3,22,€5.57m,€217.25m,[]
292,2016,Bundesliga,VfL Wolfsburg,43,25.0,21,€4.72m,€203.08m,[]
293,2016,Bundesliga,RB Leipzig,33,24.0,17,€5.34m,€176.33m,[]
294,2016,Bundesliga,Borussia Mönchengladbach,33,24.9,17,€4.91m,€162.18m,[]
295,2016,Bundesliga,TSG 1899 Hoffenheim,33,25.0,16,€4.20m,€138.63m,[]
296,2016,Bundesliga,1.FC Köln,30,25.8,14,€3.87m,€116.15m,[]
297,2016,Bundesliga,1.FSV Mainz 05,39,24.8,23,€2.48m,€96.73m,[]
298,2016,Bundesliga,Hertha BSC,33,25.4,16,€2.93m,€96.53m,[]
299,2016,Bundesliga,SV Werder Bremen,41,26.0,21,€2.18m,€89.45m,[]
300,2016,Bundesliga,SC Freiburg,36,25.5,14,€2.41m,€86.73m,['German 2. Bundesliga Champion 15/16']
301,2016,Bundesliga,Hamburger SV,38,25.0,21,€2.12m,€80.48m,[]
302,2016,Bundesliga,Eintracht Frankfurt,35,24.6,22,€2.07m,€72.30m,[]
303,2016,Bundesliga,FC Augsburg,37,26.8,21,€1.78m,€65.85m,[]
